trial Response_Time velH Occlusion_Duration velH_Subject xRotations_first0 xRotations_first1 xRotations_first2 xRotations_first3 xRotations_first4 xRotations_first5 yRotations_first0 yRotations_first1 yRotations_first2 yRotations_first3 yRotations_first4 yRotations_first5
1 16.02018 3.5 0.55 0 0.00948013 0.003847337 0.0009940045 -0.000178153 -0.0009899951 1000 0.01921577 0.0009522988 -0.01540754 -0.0172086 -0.01045873 1000
2 0.28 3.5 0.45 0 0.007783711 0.007494275 0.008647084 0.009166939 0.009500382 1000 0.005138148 0.004625633 0.004937587 0.004598567 0.004212187 1000
3 0.4800001 -3.5 0.45 0 0.008332504 0.007046569 0.007090206 0.007908574 0.008512975 1000 0.003496302 0.002390275 0.003612176 0.003868299 0.002883453 1000
4 0.8399997 3.5 0.65 0 0.008191533 0.006645912 0.007811111 0.009335226 0.01119455 1000 0.008314151 0.008664527 0.008300091 0.00721057 0.006047234 1000
5 0.36 -2.5 0.65 0 0.01369057 0.01349739 0.01408498 0.01440222 0.01445327 1000 0.006404307 0.007266501 0.007341431 0.006949413 0.006928097 1000
6 0.7399998 -3.5 0.55 0 0.01408915 0.01467474 0.0152723 0.0151298 0.01593621 1000 0.005900389 0.005446726 0.005943204 0.005579444 0.006737674 1000
7 0.56 2.5 0.45 0 0.01797448 0.0184581 0.01872962 0.01892049 0.01923572 1000 0.008026022 0.007909527 0.007458798 0.007395946 0.007161955 1000
8 0.7999998 -4.5 0.55 0 0.02131857 0.02142894 0.02173719 0.02211366 0.0225838 1000 0.006640888 0.006286463 0.006496146 0.006519986 0.006615267 1000
9 0.6399999 2.5 0.55 0 0.02249804 0.02231226 0.02243355 0.0229856 0.02366555 1000 0.005940904 0.005513149 0.004881403 0.005065928 0.005206864 1000
10 0.54 -2.5 0.45 0 0.01735114 0.004783633 0.000835226 -0.00501158 -0.004167432 1000 0.001914791 0.002807814 0.001548035 -0.0005352629 0.0003417805 1000
11 0.4400001 -2.5 0.55 0 0.00717747 0.007722959 0.008158833 0.007770101 0.008106248 1000 0.00157079 0.001847381 0.002083615 0.001505026 0.001631014 1000
12 0.6199999 2.5 0.65 0 0.01142062 0.01129451 0.01174804 0.01199866 0.01248698 1000 0.001997332 0.001958994 0.001865295 0.001938082 0.002290295 1000
13 0.7599998 -3.5 0.65 0 0.01416792 0.0144533 0.01520943 0.0149457 0.01489201 1000 0.001066651 0.0013419 0.00167582 0.001290598 0.00112632 1000
14 0.52 -4.5 0.45 0 0.01560452 0.01645114 0.0161581 0.01573777 0.01633596 1000 0.001200763 0.001399748 0.001253619 0.001193699 0.001696228 1000
15 0.7799998 -4.5 0.65 0 0.01673067 0.01676819 0.01709933 0.01744984 0.018012 1000 0.000937129 0.0001838068 0.0004699094 0.0005758078 0.0009455809 1000
16 0.58 4.5 0.65 0 0.01915202 0.01862226 0.01899307 0.01921473 0.01867831 1000 0.002321619 0.001292012 0.001614643 0.001295725 0.0005006556 1000
17 0.4800001 4.5 0.45 0 0.01943928 0.01904923 0.01914371 0.01971973 0.01940481 1000 0.0001487325 -3.000794E-05 9.874217E-05 0.0006830929 0.001116483 1000
18 0.5000001 4.5 0.55 0 0.02063381 0.02069445 0.02055314 0.02122759 0.02145551 1000 -0.001298304 -0.0001165403 -0.0005927892 0.0002965964 0.0001582858 1000
